Century,Complement,Tense,Tense_Simplified,Reading,left,right,year,buinn,source,be,verb,Sub_BA,SuB,Excl
12,NULL,NA,NA,Fixed,þrífast megu bæði þessa heims og annars. Sjá þrifsemi segist,"fyrir augliti allra lýða, því að allir tóku hjálp af honum, þeir er hugskots",1150,búin,(homil),NA,NA,None,0,
12,NULL,NA,NA,Attr,"í hverjum sem einum gjöf sinnar miskunnar, sem hann sér hann",vera góðra verka skrúði. En ef hann sér manninn klæddan gæskuljósinu og skr,1150,búinn,(homil),NA,NA,None,0,
12,NULL,NA,NA,Fixed,"ð innan í öndinni, þar er vér skyldim góðra verka gimsteinum","vera, að þar sýnimst vér vafðir í fornum tötrum. Þá er hreinlífið sýnir þá",1150,búnir,(homil),NA,NA,None,0,
12,NULL,NA,NA,Fixed,"ella. Það er oss mest nauðsyn, að vér leitim við, að vér sém","við andláti óru ávallt hverja stund frá annarri, af því að vér vitum eigi,",1150,búnir,(homil),NA,NA,None,0,
12,PP,NA,NA,Fixed,læðum né saurgum. Hve miklu meiri skyld er að koma hreinlega,"til samkundu eilífs konungs. En þá er það, er ér komið til altera Drottins.",1150,búinn,(homil),NA,NA,None,0,
13,NULL,NA,NA,Fixed,"Mel með feng sinn og gerist brátt hollur Oddi, sýslar vel um",og vinnur sem tveir aðrir. Oddi líkar vel við hann. Líða þau misseri og er v,1280,búið,(band),NA,NA,None,0,
13,NULL,NA,NA,Fixed,n vetur. En að vori hafði Þorbjörn vinaboð og var veisla góð,og kom þar margt manna og var veislan hin besta. Og að veislunni kvaddi Þorb,1274,búin,(eirik),NA,NA,None,0,
13,NULL,NA,NA,Live,er bjó á Fróðá. Hann var sonur Orms hins mjóva er þar hafði,"og numið Fróðárland. Þuríði, dóttur Ásbrands frá Kambi úr Breiðavík, hafði h",1255,búið,(eyrbygg),NA,NA,None,0,
13,NULL,PRS,PRS,Prepared,tug manna og Guðríði konu sína og sigla í haf þegar þau eru,og úr landsýn. Þau velkti úti allt sumarið og vissu eigi hvar þau fóru. Og e,1200,búin,(graens),NA,NA,None,0,
13,NULL,NA,NA,svo búið,"illt um gengi nema heiman hafi."" Ríður Þórir í brott við svo",og Helgi með honum og fer heim og unir illa við. 7. kafli Þorvaldur son Tung,1280,búið,(haensna),NA,NA,None,0,
13,NULL,NA,NA,Fixed,"Bera þeir nú líkin saman í kös þar í túninu, skiljast við so",og hraða sér í burtu. Var þetta á lítilli stundu gjört. Lýsa víginu á næsta,1212.5,búið,(heidarv),NA,NA,None,0,
13,NULL,NA,NA,Fixed,"Hún kallar eftir honum: ""Lát vera nú svo búið sem eg hefi um","og vættir mig að þá mun hlýða."" 24. kafli Nú er hann kemur til liðs síns þá",1212.5,búið,(heidarv),NA,NA,None,0,
13,NULL,NA,NA,svo búið,Sér hann þar áorkast ekki í þetta sinn. Snýr hann frá við so,og fer vestur leið sína. Nú líður að alþingi. Stýrimaður einn var um veturin,1212.5,búið,(heidarv),NA,NA,None,0,
13,NULL,NA,NA,svo búið,sín í milli meðan sú stefna væri. Og fóru þeir aftur við svo,og segja Guðbrandi og Þórði að grið voru sett. Konungur fór þá til bæjar þes,1230,búið,(heimskringla),NA,NA,None,0,
13,NULL,NA,NA,svo búið,eir Ásmundur það með sér. Komu húskarlar Háreks heim við svo,"og segja Háreki frá ferð sinni. Hann svarar: ""Tíðindi þykja nýnæmi öll. Þett",1230,búið,(heimskringla),NA,NA,None,0,
13,NULL,NA,NA,svo búið,kipt var seglunum. Fóru þeir Ásbjörn brott leið sína við svo,og stefndi hann þá norður með landi og létti eigi fyrr en hann kom heim í ön,1230,búið,(heimskringla),NA,NA,None,0,
13,NULL,NA,NA,svo búið,"þeim þætti best til fallinn, og skildust á því þingi við svo",og urðu engar utanferðir á því sumri. En Þórarinn fór tvívegis um sumarið og,1230,búið,(heimskringla),NA,NA,None,0,
13,NULL,NA,NA,svo búið,og gera þá orð Haraldi konungi. Fór Grjótgarður heim við svo,og þá gjafir góðar af konungi. Dauði Sigurðar jarls Sigurður jarl fór um hau,1230,búið,(heimskringla),NA,NA,None,0,
13,NULL,NA,NA,Fixed,onungur upp og gekk út með þeim Birni. Þá tók hann upp sverð,"og fingurgull og seldi Birni. ""Sverð þetta gef eg þér. Það gaf mér í sumar R",1230,búið,(heimskringla),NA,NA,None,0,
13,NULL,NA,NA,Fixed,aurugt var báru hirðmenn hann á herðum sér. Hásæti var honum,og hann sat á haugi sem konungar og bjó í Eyjunni innri og hafði aðsetu þar,1230,búið,(heimskringla),NA,NA,None,0,
13,NULL,NA,NA,Fixed,g komið sér þar í vináttu þá þóttist hann þar eiga vel fyrir,og vissi að þar mundu margir flutningamenn um hans mál en þó vænti hann að f,1230,búið,(heimskringla),NA,NA,None,0,
13,NULL,PST,PST,Prepared,auð til sín höfðingjum og öðrum stórbóndum. En er veisla var,og boðsmenn höfðu til sótt þá var þar hið fyrsta kveld veisla fögur og veitt,1230,búin,(heimskringla),NA,NA,None,0,
13,NULL,NA,NA,svo búið,fund Árna Árnasonar bróður síns og segir honum þetta mál svo,"og bað hann fara með sér til konungs. Árni segir: ""Undarlegt þykir mér um þi",1230,búið,(heimskringla),NA,NA,None,0,
13,NULL,NA,NA,svo búið,þá var hver þeirra sleginn límahögg. Fóru þeir brott við svo,og heim aftur í Noreg en Markamenn allir snerust þá aftur undir Inga konung.,1230,búið,(heimskringla),NA,NA,None,0,
13,NULL,NA,NA,Fixed,nungur Ólafi til skips og gaf honum spjót gullrekið og sverð,og mikið fé annað. Ólafur beiddist að flytja fóstru Melkorku á brott með sér,1250,búið,(laxdal),NA,NA,None,0,
13,NULL,NA,NA,svo búið,að vera á Höskuldsstöðum. Ríður Höskuldur nú í brott við svo,og heim til bús síns og er nú heima til þess er boð þetta skyldi vera. Sækir,1250,búið,(laxdal),NA,NA,None,0,
13,NULL,NA,NA,vel búið,"r förin góð svo búið."" Atli svarar: ""Eg býð þér tíu menn vel","og far aftur og legg eigi menn þína í hættu."" 24. kafli Síðan riðu þeir Eyjó",1220,búna,(ljosvetn),NA,NA,None,0,
13,NULL,NA,NA,svo búið,"a kvið og hugðu að og gátu hvergi rengdan, gengu frá við svo",og undu illa við. Mörður nefndi sér votta og beiddi búa þá níu framburðar um,1280,búið,(njala),NA,NA,None,0,
13,NULL,NA,NA,svo búið,hann hafði föng á. Síðan fór Brandur heim og sagði Páli svo,og nú líður að þinginu. Páll reið til þings því að hann átti Reykhyltingagoð,1250,búið,(sturl),NA,NA,None,0,
13,NULL,NA,NA,svo búið,ana komast. Verður það þeirra ráð að þeir snúa aftur við svo,og ríða heim vestur. Þeir Hrafn og Sturla voru báðir á Staðarhóli um veturin,1250,búið,(sturl),NA,NA,None,0,
13,NULL,PST,PST,Prepared,é til farningar þeim. Þar var sæst á öll mál þau er til voru,og gekk Þorleifur beiskaldi til handsala fyrir Ara og greiddi upp fé mikið.,1250,búin,(sturl),NA,NA,None,0,
13,NULL,NA,NA,Fixed,"skapi. En eftir það, vonu bráðara, seldi Guðmundur af hendi",og alla fjárhluti og tóku þau við en Guðmundur ræðst í brott með það er hann,1250,búið,(sturl),NA,NA,None,0,
13,NULL,NA,NA,Fixed,ungu hinn þriðja dag páska með fjóra tigu manna og settist í,og bauð Páli að hafa af fénu fjóra tigu hundraða en Páll kvað sig eigi mega,1250,búið,(sturl),NA,NA,None,0,
13,NULL,NA,NA,Fixed,gullsmiður er átti Sigríði Þjóðólfsdóttur er þar hafði lengi,og kom Guðmundur því ráði í hendur honum og svo landinu. Þorsteinn tók við R,1250,búið,(sturl),NA,NA,None,0,
13,NULL,NA,NA,Fixed,aholt fékk hann í hendur Þórði bróður sínum og eignaði honum,og það er eftir var. Órækja tók það ráð að hann reið vestur í fjörðu með tól,1250,búið,(sturl),NA,NA,None,0,
13,NULL,NA,NA,Fixed,þá er Herdís hét er átt hafði Brandur Gellisson er þar hafði,og þar var veginn í kirkjudurum. Þórdís hét kona sú er Helgi prestur átti en,1250,búið,(sturl),NA,NA,None,0,
13,NULL,PST,PST,Prepared,n og þótti mönnum þetta ill furða. En er skip þessi öll voru,"og komin til Skagafjarðar þá var og komið lið allt norðan um Öxnadalsheiði,",1250,búin,(sturl),NA,NA,Sub_Before,1,
13,NULL,NA,NA,svo búið,"eiga, það biskupi og kirkju er þau eiga. Skilja þeir við svo",og fara þeir heim. Að áliðnu sumri fer biskup norður um heiði að erindum sín,1250,búið,(sturl),NA,NA,None,0,
13,NULL,NA,NA,svo búið,og fór á Staðarhól til Einars fóstra síns og sagði honum svo,og kveðst ætla að hann mundi vilja rétta hans hlut þá er þeir léku saman bar,1250,búið,(sturl),NA,NA,None,0,
13,NULL,NA,NA,svo búið,hitt maklegra að þú hefðir einn. Far heim til Borgar við svo,og sit í búi þínu. Hinn er annar kostur að nú skulum vér þreyta hólmgöngur v,1280,búið,(vatnsdae),NA,NA,None,0,
13,NULL,NA,NA,Fixed,ar svo gert. Þar heita síðan Sleggjustaðir er Þórólfur hafði,og sáust jafnan kettir og illt þótti þar oftlega síðan. Sjá bær er ofan frá,1280,búið,(vatnsdae),NA,NA,None,0,
13,NULL,NA,NA,svo búið,"tir fyrir höndum og hvorgi góður, ríða undan og heim við svo",og er það þó hin mesta sneypa eða að hætta á fundi við þá og er þó nokkuð hæ,1280,búið,(vatnsdae),NA,NA,None,0,
13,NULL,NA,NA,svo búið,"a goða gremi og griðníðings nafn."" Skilja þeir síðan við svo",og fór hver heim til síns heimilis. Var þetta nú gert að tíðindasögn um svei,1280,búið,(vatnsdae),NA,NA,None,0,
13,NULL,NA,NA,svo búið,ign og gróf Sigmund upp. Síðan fóru mál til alþingis við svo,"og sótti Glúmur þá frændur sína að liðveislu, Gissur hvíta og Teit son Ketil",1215,búið,(vigaglum),NA,NA,None,0,
13,NULL,NA,NA,svo búið,"svarar: ""Þann kost vil eg gjarna."" Skiljast þeir nú við svo",og fer Glúmur til þings. En Ásbjörn fer til móts við Skútu og segir honum hv,1215,búið,(vigaglum),NA,NA,None,0,
13,NULL,NA,NA,Fixed,bræður nú búast við jólaveislu. En allt hafði Hreiðar fyrir,"og skyldi hann þá bjóða mönnum og bað Eyjólf fara með sér ""og er mér eigi fo",1215,búið,(vigaglum),NA,NA,None,0,
13,NULL,NA,NA,svo búið,"n hún enn hingað koma til Hofs."" Geitir reið nú heim við svo",og þótti hvorutveggjum eigi betur en áður. En er Geitir kom eftir spurði Hal,1237.5,búið,(vopn),NA,NA,None,0,
13,NULL,NA,NA,svo búið,"ta fé enda vera þér aldrei að liði síðan."" Og skildu við svo",og er nú lokið vinfengi þeirra. Geitir spyr þetta og fer til fundar við Guðm,1237.5,búið,(vopn),NA,NA,None,0,
13,NULL,NA,NA,svo búið,"igi heima. Eigi mun yður ellegar duga."" Þormóður fer við svo",og hittir þá menn er Geitir hefir til nefnda og hétu þeir allir að fara og á,1237.5,búið,(vopn),NA,NA,None,0,
13,GEN,PST,PST,Prepared,n og þeir höfðu tekið af Þorgísli gjallanda. En er þeir voru,"ferðar sinnar, þá sagði konungur þeim erindi, að þeir skyldu fara austur ti",1227.5,búnir,(egils),NA,NA,None,0,
13,GEN,PST,PST,Prepared,"i, og bað hann selja, ef kaupendur væru til. Og er Egill var","ferðar sinnar og byr gaf, þá sigldu þeir út eftir Víkinni og svo leið sína",1227.5,búinn,(egils),NA,NA,Sub_Before,1,
13,GEN,PST,PST,Prepared,"sú sveit manna, er honum hafði þangað fylgt. En er Björn var","ferðar sinnar, þá sagði Bera, að hún vill, að Ásgerður, fóstra hennar, sé e",1227.5,búinn,(egils),NA,NA,Sub_Before,1,
13,GEN,PST,PST,Prepared,æði þar úr Þrándheimi og svo norðan úr landi. En er hann var,ferðar sinnar þá fór hann með liðinu fyrst suður á Mæri og heimti þar saman,1230,búinn,(heimskringla),NA,NA,Sub_Before,1,
13,GEN,PST,PST,Prepared,þeir þar um nóttina. Um morguninn er þeir Bolli voru ferðar,"þá mælti Óttar: ""Vel hefir þú gert Bolli er þú hefir sótt heim bæ minn. Vil",1250,búnir,(laxdal),NA,NA,None,0,
13,GEN,PRS,PRS,Prepared,"Kjartan í brott og til konungs, sagði konungi að hann er þá",ferðar sinnar. Ólafur konungur leiddi Kjartan til skips og fjöldi manns með,1250,búinn,(laxdal),NA,NA,None,0,
13,GEN,PST,PST,Prepared,"alskipuð. Þetta frá nú Óláfr konungr, at Yngvarr var ferðar",", ok sendi menn á fund Yngvars ok bað hann dveljast ok þiggja konungs nafn.",1200,búinn,(yngvar),NA,NA,None,0,
13,INF,PRS,PRS,Prepared,un eigi dvelja að reiða öxina að honum Arnkatli þá er þú ert,"að hefna Hauks fylgdarmanns þíns."" Snorri svarar: ""Það þykist eg eiga að yð",1255,búinn,(eyrbygg),NA,NA,Sub_Before,1,
13,INF,PST-SBJ,PST,Prepared,turla Þjóðreksson sendi þau orð að vestan að hann væri þegar,að fara að þeim Óspaki er Snorri vildi og kallar sig eigi óskyldara að fara,1255,búinn,(eyrbygg),NA,NA,None,0,
13,INF,NF,Other,Prepared,"ándur tók því vel og spurði hvað hann vildi honum, kvaðst þá",að fara þangað er hann skyldi ef hann vildi senda hann nokkuð. Snorri bað h,1255,búinn,(eyrbygg),NA,NA,None,0,
13,INF,NF,Other,Prepared,"mig varan við."" Skildu þeir við það að hvorirtveggju létust",að ráða Arnkel af lífi en Þorbrandssynir skyldu halda njósn um ferðir hans.,1255,búnir,(eyrbygg),NA,NA,None,0,
13,INF,PRS,PRS,Prepared,húðföt þeirra. Taka þeir að hvata út á skipið og eru árdegis,að öllu. Þá er sól var í landsuðri rann byr á. Ganga þeir Ingólfur og Kolba,1225,búnir,(fostb),NA,NA,None,0,
13,INF,PRS,PRS,Prepared,ðan fer hann. Og er hann kemur þar þá eru þau Gísli og Auður,að láta upp tjöldin. Geirmundur ber upp erindið og sagði allt sem farið hafð,1240,búin,(gisl),NA,NA,Sub_Before,1,
13,INF,PST,PST,Prepared,"nema heiman hafi."" Hávarður var vinsæll maður og voru margir",að veita honum lið til þessa en í annan stað að firra Eyjólf óhappi og verð,1240,búnir,(gisl),NA,NA,None,0,
13,INF,PST,PST,Prepared,vildi. Þú hefir og enn fyrr tekið mig með valdi og varst þá,"að veita mér bana. Var þá nokkur sök til en nú engi nema lygi þín og róg.""",1212.5,búinn,(hallfr2),NA,NA,None,0,
13,INF,Samsett,Other,Prepared,tekið minnar handar mikilmannlega til orðs að eg þykist eigi,að fara. Nú er ferð mín albúin á braut en eg hefi ætlað að fara tvívegis. N,1212.5,búinn,(heidarv),NA,NA,None,0,
13,INF,PRS-SBJ,PRS,Prepared,an og takist orusta þá heimti vorir menn saman skipin og séu,að tengja. Hlífum oss fyrst og gætum vopna vorra að vér berum eigi á sæ eða,1230,búnir,(heimskringla),NA,NA,None,0,
13,INF,Samsett,Other,Prepared,"gast."" Að ræðu Gregoríusar varð mikill rómur og létust allir",að leggja til orustu við þá Hákon. Var þá róið öllum skipunum upp eftir ánn,1230,búnir,(heimskringla),NA,NA,None,0,
13,INF,PST,PST,Prepared,Björn og þeir tólf saman. Hann segir þá konungi að þeir voru,"að fara sendiförina og hestar þeirra stóðu úti söðlaðir. ""Vil eg nú vita,""",1230,búnir,(heimskringla),NA,NA,None,0,
13,INF,PST,PST,Prepared,"n og þeir Þórir spurðu það, þeir lágu þá við Hefring og voru","að halda út úr firðinum, þá reru þeir á Vagnvíkaströnd og gengu þar af skip",1230,búnir,(heimskringla),NA,NA,None,0,
13,INF,PST,PST,Prepared,ungs safnaðist saman í Sólundum. En er Haraldur konungur var,að leggja út úr Niðarósi þá gekk hann áður til skríns Ólafs konungs og lauk,1230,búinn,(heimskringla),NA,NA,Sub_Before,1,
13,INF,PST,PST,Prepared,"hann banahögg, reið braut síðan. En er Haraldur konungur var",að stíga á hest sinn þá bað hann kalla til sín Áka búanda. En er menn leitu,1230,búinn,(heimskringla),NA,NA,Sub_Before,1,
13,INF,PST,PST,Prepared,stofu og sat á palli. Þórveigarsynir sátu í stofunni og voru,að veita Kormáki tilræði er hann gengi inn. En Þorkell hafði sett öðrumegin,1212.5,búnir,(kormaks),NA,NA,None,0,
13,INF,Samsett,Other,Prepared,"ð má við gangast."" Snorri mælti: ""Til þess skal eg boðinn og",að ganga með þeim málum fyrir þína hönd. Er nú og af ráðinn hvortveggi hlut,1250,búinn,(laxdal),NA,NA,None,0,
13,INF,PST,PST,Prepared,laferli færu fram. En þá var svo komið að hvorirtveggju voru,"að berjast. Þá mælti Skegg-Broddi: ""Má Eyjólfur heyra mál mitt?"" ""Heyri eg,",1220,búnir,(ljosvetn),NA,NA,None,0,
13,INF,NA,NA,Fixed,igi vil eg út ganga því eg er maður gamall og er eg lítt til,"að hefna sona minna en eg vil eigi lifa við skömm."" Flosi mælti þá til Berg",1280,búinn,(njala),NA,NA,None,0,
13,INF,NA,NA,Fixed,því að eg mun þá hafa fylkt liði mínu hér fyrir og vera við,að veita yður. En ef hinn veg fer að þeir hrökkvi fyrir þá er það ætlan mín,1280,búinn,(njala),NA,NA,None,0,
13,INF,PST,PST,Prepared,"ir þeim, því at hann hafði komit af landi ofan, þá þeir váru","at sigla, eptir er Oddr hafði unnit finngálknit, ok sjaldan var Rauðgrani þ",1290,búnir,(orvar),NA,NA,None,0,
13,INF,NA,NA,Fixed,íkan farartálma. Sigurður var stórorður og kvað hann vel til,"að hlaupa og elta hest sinn. ""Heyr á,"" segir Einar, ""að þú gerir mér afarko",1250,búinn,(sturl),NA,NA,None,0,
13,INF,PST-SBJ,PST,Prepared,"n með sveit sína, kvaðst þar mundu vera þar til er þeir væru",að ríða norður á sveitir því að Oddur ætlaði norður að þeim Eyjólfi þegar h,1250,búnir,(sturl),NA,NA,None,0,
13,INF,NA,NA,Fixed,ær er þá mundu eigi upp bornar. Þorgils kvaðst vel mundu við,að verja þær ef eigi væri logið á hann. Sturla segir að eigi mundi verða af,1250,búinn,(sturl),NA,NA,None,0,
13,INF,Samsett,Other,Prepared,reiði sína og þeir sem áður höfðu verið ills eggjandi mundu,"að fullgjöra það sem heitið var, hljóp hann fram fyrir biskup og mælti: ""Eg",1210,búnir,(thorl),NA,NA,None,0,
13,INF,PRS,PRS,Prepared,llt það sem mér má í koma. Gjör hvað er þú vilt því að eg er,"að láta bannið ei undan líða sakir hugleysis fyrir heitan þína."" Jón svarar",1210,búinn,(thorl),NA,NA,None,0,
13,INF,PST,PST,Prepared,"nnan hvorn."" Jökull stóð hjá Þorsteini með Ættartanga og var","að bregða. Finnbogi og þeir Bergur ganga til hesta sinna og stíga á bak, rí",1280,búinn,(vatnsdae),NA,NA,None,0,
13,INF,Samsett,Other,Prepared,"brottferð ""en þó er fátt sköpum ríkara."" Urðu og þess margir","að fara með Ingimundi þeir er mikils voru virðir, bæði bændur og lausir men",1280,búnir,(vatnsdae),NA,NA,None,0,
13,INF,PST,PST,Prepared,til skjótur en eg heldur til seinn því að nú var eg á brott,að hverfa frá þessu óráði en á eg kost alls við þig hvort eg læt þig lifa e,1280,búinn,(vatnsdae),NA,NA,None,0,
13,INF,Samsett,Other,Prepared,"r spekimenn eru og við eru staddir."" Þeir Þórarinn urðu eigi",að lasta en kváðust eigi fyrri þann veg heyrt hafa að orði kveðið. Með slík,1215,búnir,(vigaglum),NA,NA,None,0,
13,INF,PST,PST,Prepared,hólm við Ásgaut. En þótt konan þætti fýsileg þá varð þó engi,að vinna þetta til. Þá beiddu þeir bræður að Eyjólfur mundi halda skildi fy,1215,búinn,(vigaglum),NA,NA,None,0,
13,INF,Samsett,Other,Prepared,"mundu þegit hafa, ef þess hefði fyrr kostr verit, en kveðst","at sigla, þegar byrr gefr. Litlu síðar sigldi Yngvarr ór Svíþjóð með þrjá t",1200,búinn,(yngvar),NA,NA,None,0,
13,NULL,NA,NA,svo búið,"lir mælti: ""Dimmu þykir á draga ráðið Odds sonar þíns að svo","."" Ófeigur segir: ""Eg segi þér með sönnu að aldrei giftir þú hana betur en sv",1280,búnu,(band),NA,NA,None,0,
13,NULL,NA,NA,Fixed,r komu þar þá var þar mart manna fyrir og voru þá mjög brott,"og var helguð leiðin. Oddi bregður nú í brún, þykir undarleg þessi tiltekja",1280,búnir,(band),NA,NA,None,0,
13,NULL,NA,NA,Fixed,"li svo auðigs manns?"" ""Það kölluðu þeir að rangt væri heiman",","" segir Oddur. ""Eigi mun það vera er þú fórst með málið,"" segir Ófeigur. ""En",1280,búið,(band),NA,NA,None,0,
13,NULL,PRS,PRS,Prepared,"mælti: ""Það er mitt ráð að þé búir skip þitt um þing og ver",með allt lausagóss þitt áður menn ríða af þingi. Eða hvort þykir þér betur,1280,búinn,(band),NA,NA,None,0,
13,NULL,PRS,PRS,Prepared,"n, dvelst þar nokkura hríð og býr skip sitt og þegar hann er",þá koma austanveður og sigla þeir. Gefur þeim allvel og koma á Þorgeirsfjör,1280,búinn,(band),NA,NA,Sub_Before,1,
13,NULL,NA,NA,svo búið,"egir hann Gellir, ""var það er því mundi vel svarað en að svo","get eg að það frestist."" ""Hvað kemur til þess?"" segir Ófeigur. Gellir mælti:",1280,búnu,(band),NA,NA,None,0,
13,NULL,NA,NA,svo búið,sorði væri á lokið. Nú fara menn heim til búða sinna við svo,. Engi frétt fór af þessu um nóttina. En að Lögbergi um morguninn stendur Odd,1280,búið,(band),NA,NA,None,0,
13,NULL,NA,NA,Fixed,"eigur. ""Vörn fannst í málinu,"" segja þeir, ""og var rangt til","."" ""Já,"" segir hann Ófeigur, ""munuð þér lofa mér að ganga í dóminn?"" Þeir ját",1280,búið,(band),NA,NA,None,0,
13,NULL,NA,NA,svo búið,fer Óspakur á brott og kemur á Svölustaði og segir henn svo,. Nú gera þau ráð sitt og fastnar hún sig sjálf og fer hún með honum á Mel en,1280,búið,(band),NA,NA,None,0,
13,NULL,NA,NA,svo búið,"n eigi í héraði. Ger nú annaðhvort, gakk frá dóminum við svo","eða vér munum færa fram vörnina."" Oddur þagnar og hugsar málið, finnur að sa",1280,búið,(band),NA,NA,None,0,
13,NULL,NA,NA,Fixed,ddur að varnir eru fundnar í máli þínu og hefir þú rangt til,"málið, kvatt heiman tíu búa. Er það lögleysa. Áttir þú það á þingi að gera e",1280,búið,(band),NA,NA,None,0,
13,NULL,NA,NA,Fixed,þegar vissi eg er þú fórst heiman úr héraði að rangt var til,málið. En þú þóttist þér ærinn einn og vildir engan mann að spyrja. Nú muntu,1280,búið,(band),NA,NA,None,0,
13,NULL,NA,NA,Fixed,þessi maður gefst. Hann er og vinsæll sjálfur og stendur nú,með miklum blóma og þykir engis manns ráð virðulegra vera en Odds. Einn hlut,1280,búið,(band),NA,NA,None,0,
13,NULL,NA,NA,Fixed,þú og ertu slægur karl og vitur. En þó verð eg eigi til þess,og hvorki hefi eg til mátt né liðsafla að standa einn í mót þessum höfðingj,1280,búinn,(band),NA,NA,None,0,
13,NULL,PST,PST,Prepared,og ætlar Björn í brott að búast. Það er sagt þá er Björn var,á brott úr vistinni þá gaf hann Oddnýju skikkjuna Þórðarnaut og mælti hvort,1225,búinn,(bjarnar),NA,NA,Sub_Before,1,
13,NULL,NA,NA,svo búið,il að gera milli ykkar Þórðar um mál yðar því að eigi má svo,standa. Þó að þú hafir ógilda menn lagið að jörðu og það eigi fjarri lögum þ,1225,búið,(bjarnar),NA,NA,None,0,
13,NULL,NA,NA,svo búið,tóð upp var ekki Birni veitt lengur aðsókn og skilja við svo,", fara nú hvorirtveggju heim. 26. kafli Systir Bjarnar bjó í Knarrarnesi og f",1225,búið,(bjarnar),NA,NA,None,0,
13,NULL,NA,NA,Fixed,"vísu: Það vil eg Þórðr að frétti, þess unnum bör gunnar, ops","veik frá veiti vægja suðr með ægi, að, þar er einir hittumst, jók eg tafn í",1225,búinn,(bjarnar),NA,NA,None,0,
13,NULL,NA,NA,svo búið,og kom til eyrna Birni og þótti honum ill og vildi eigi svo,vera láta. Björn reið um sumarið á Hítarnes með sex tigu manna og stefndi Þó,1225,búið,(bjarnar),NA,NA,None,0,
13,NULL,NA,NA,svo búið,ótti vænna að þeir mundu firr sauri á ausast og fóru við svo,heim. Var nú kyrrt að kalla. 17. kafli Þess er nú við getið að hlutur sá fan,1225,búið,(bjarnar),NA,NA,None,0,
13,NULL,NA,NA,svo búið,mega af honum jafnan hlut og fýsa Þórð að sitja eigi við svo,. Héraðsmenn eiga oft ferðir út á Snæfellsnes eftir fiskiföngum eða öðru því,1225,búið,(bjarnar),NA,NA,None,0,
13,NULL,NA,NA,Fixed,hann veit þaðan tíðindi og hversu það Þórður hafði við hann,. Og á því méli er Björn var úr landi varð höfðingjaskipti í Noregi. Tók við,1225,búið,(bjarnar),NA,NA,None,0,
13,NULL,NA,NA,svo búið,vilja gefa honum. Þorsteinn kvaðst eigi vilja þiggja að svo,"""því að eg er enn eigi að þér gjafa verður. Og ef eg launa þér eigi beinann",1225,búnu,(bjarnar),NA,NA,None,0,
13,NULL,NA,NA,svo búið,"a í brott og þykir ill orðin ferð sín og hneisuleg, koma svo",á Hítarnes. Þórður kvað sér ekki mönnum að nær þótt þeir væru og rak þá á b,1225,búnir,(bjarnar),NA,NA,None,0,
13,NULL,NA,NA,Live,þess væri vert heldur fyrir vingan þeirra og þeir höfðu áður,"á landi hans og áttu enn fjárreiður saman ""en eg veit,"" segir Björn, ""að þet",1225,búið,(bjarnar),NA,NA,None,0,
