label,textid,genre,year,century,lexicaldiversity,subgenre,treeid,tense,prog,fara,taka,,FOCAL,text,Notes
IP-SUB,marta,rel,1350,14,0.24,sag,18355,BEDI,,,,,,Hið fyrsta tákn af þessum segir Comestor á þá leið in Historiis evangeliorum að þá er drottinn Jesús var beðinn að fara til húsa þess höfðingja er Jarkus hét að reisa af dauða dóttur hans þröngdu honum mjög á veginum miklir flokkar þeirra manna sem sumir vildu heyra kenningar hans sumir þiggja af honum lækning sumir að undrast tákn hans sumir að finna að atferð hans,
IP-MAT,marta,rel,1350,14,0.24,sag,18423,BEDI,,,,,,Í friði var henni boðið að fara að hún gengi um sannleiksgötur en dræpi eigi fótum í áhlekkingar,
IP-SUB,marta,rel,1350,14,0.24,sag,18428,BEPI,,,,,,Og er þessi grein haldandi í milli peccatum og delictum að delictum verður í tjón góðra verka ef maður vinnur eigi vinnandi hluti en peccatum er að vinna óvinnandi hluti,
IP-MAT,marta,rel,1350,14,0.24,sag,18468,BEPI,,,,,,það er að skilja sú sála sem sjálfur guð gerði sér til herbergis fyrirkemur sér með saurlífis synd,
IP-MAT,marta,rel,1350,14,0.24,sag,18487,BEPI,,,,,,Mikil tign er að þiggja slíka vináttu af guðs syni og maklig miklu lofi,
IP-MAT,marta,rel,1350,14,0.24,sag,18550,BEPI,,,,,,Það er svo að skilja að sá sem á mig trúir þótt hann hafi dauður verið í líkam mun lifa í önd þar til er hann lifnar og hörund hans sú er þá lifnar mun aldrei deyja þaðan af,
IP-MAT,marta,rel,1350,14,0.24,sag,18885,BEPI,,,,,,Og það er eigi vor að greina því að hin fyrstu sjö ár nærði hún heldur en fæddi sinn líkam með hnotum og grasarótum hrám og skógareplum svo sem hún mátti minnst lifa við,
IP-MAT,marta,rel,1350,14,0.24,sag,19224,BEPI,,,,,,Makligt er að votta minniligt tákn og opinbert það er guðlig mildi gerði fyrir verðleika sællar Maríu Magdalenu í hennar fyrrnefndu klaustri að ásjáöndum mörgum mönnum,
IP-SUB,marta,rel,1350,14,0.24,sag,19251,BEDI,,,,,,og sveipuðu dúkum sem þar var siður til um dauða menn að búa,
IP-MAT,gunnar,nar,1400,15,0.21,sag,19332,BEDI,,,,,,Það var hans iðn að geyma fjár vetur og sumar,
IP-MAT,gunnar,nar,1400,15,0.21,sag,19468,BEPI,,,,,,En frá Þorgrímssonum er það að segja að Jökull talaði við bróður sinn Við skulum fara til Keldugnúps og drepa þá Helga og Gunnar fyrir sín illvirki,
IP-MAT,gunnar,nar,1400,15,0.21,sag,19590,BEPI,,,,,,Nú er þar til að taka að Þorbjörn var heima og Helgi son hans,
IP-MAT,gunnar,nar,1400,15,0.21,sag,20174,BEPI,,,,,,Það er af Helga að segja að hann fékk fæð mikla,
IP-MAT,gunnar2,nar,1400,15,0.35,sag,20559,BEPI,,,,,,Nú er þar frá að segja að Gunnar ríður heiman einn dag að finna Þórdísi til að bjóða henni bætur eftir Örn bónda,
IP-MAT,viglundur,nar,1400,15,0.2,sag,20938,BEPI,,,,,,Nú er þar til að taka sem þeir bræður Jökull og Einar gerðust mjög óspakir í héraðinu,
IP-MAT,viglundur,nar,1400,15,0.2,sag,21058,BEPI,,,,,,Nú er þar til að taka er þeir bræður Víglundur og Trausti gengu einn dag til hrossa sinna,
IP-MAT,bandamenn,nar,1450,15,0.21,sag,21936,BEDI,,,,,,Þá var hann beðinn af vinum sínum að staðfestast hér,
IP-MAT,bandamenn,nar,1450,15,0.21,sag,22139,BEPI,,,,,,Það er að segja um haustið er menn fóru á fjall af Mel að mjög skaut í tvö horn um heimtur Odds sem verið hafði,
IP-MAT,ectorssaga,nar,1450,15,0.2,sag,23204,BEPI,,,,,,Þar er nú til að taka að Florenkíus ríður fram á einn skóg myrkvan og þrögvan,
IP-MAT,ectorssaga,nar,1450,15,0.2,sag,23416,BEPI,,,,,,Nú er frá því að segja að hinn frækni Fennakíus skilur við sína lagsmenn ríðandi svo marga daga um þykkvar merkur og þröngva skóga þar til sem að kveldi eins dags kemur hann fram að einu rjóðri Sjáandi í einum stað í rjóðrinu nokkurn ókyrrleika ríðandi þangað,
IP-MAT,ectorssaga,nar,1450,15,0.2,sag,23601,BEPI,,,,,,Er nú þar til að taka að fram á skóginn ríður riddari Alanus ríðandi svo vii-7 daga ii samt hugleiðandi um sitt efni og hvílandi sinn hest að hann skyldi eigi springa af mæði Rétt þar til sem árla um einn morgun kemur hann í eitt rjóður,
IP-MAT,ectorssaga,nar,1450,15,0.2,sag,23608,BEPI,1,,,,1,og eru nú að klæðast og vopnast,"Þeir eru nýstaðnir upp, og eru nú að klæðast og vopnast.  ""They have just risen, and are now getting dressed and armed."""
IP-MAT,ectorssaga,nar,1450,15,0.2,sag,23737,BEPI,,,,,,En nú er þar til að taka að Lukíus vaknar ei með góðan hug er hann finnur Alanus í burtu en sængin köld er hann hafði legið,
IP-MAT,ectorssaga,nar,1450,15,0.2,sag,24313,BEDI,,,,,,Var eigi langt að bíða áður en Alvernus féll af sínum hesti,
IP-SUB,ectorssaga,nar,1450,15,0.2,sag,24347,BEDI,,,,,,Lofuðu allir hreysti þessa manns við svo mikið ofurefli sem var að eiga nema kóngs son og hans faðir voru svo reiðir að þeir geymdu eigi samviskunnar,
IP-MAT,ectorssaga,nar,1450,15,0.2,sag,24469,BEPI,,,,,,er þar að ríða í milli einna braut fagra,
IP-SUB,ectorssaga,nar,1450,15,0.2,sag,24488,BEDI,,,,,,Hann hafði stöng svo langa og digra að varla var manna megn að þola hans atreið,
IP-SUB,ectorssaga,nar,1450,15,0.2,sag,24669,BEDS,,,,,,og hugsar með sér að það væri drengiligt að vinna bót kastalanum,
IP-MAT,ectorssaga,nar,1450,15,0.2,sag,24818,BEPI,,,,,,En frá Jamunth er það að segja að hann sneri mót Estomaro,
IP-SUB,judit,rel,1450,15,0.29,bib,25037,BEDI,,,,,,En er þaðan liðu tuttugu dagar þá var þrotið vatn allt í borginni svo að þá var eigi meir en dag að deila,
IP-MAT,vilhjalmur,nar,1450,15,0.18,sag,25558,BEDI,,,,,,og hvaðan sem þú leist á hann var að sjá sem x menn gengi að að berjast,
IP-MAT,vilhjalmur,nar,1450,15,0.18,sag,26033,BEPI,,,,,,Það er nú af Vilhjálmi að segja hann leiðir hest sinn af skipunum og fylgir dýrið honum,
IP-MAT,vilhjalmur,nar,1450,15,0.18,sag,26236,BEDI,,,,,,og var eigi langt að bíða áður þeir kenndu niður,
IP-MAT,vilhjalmur,nar,1450,15,0.18,sag,26464,BEPI,,,,,,Er nú oftast að eiga náttból út undir berum himni og grimmum dýrum,
IP-MAT,vilhjalmur,nar,1450,15,0.18,sag,26627,BEDI,,,,,,og var honum gefið að drekka,
IP-MAT,vilhjalmur,nar,1450,15,0.18,sag,26963,BEPI,,,,,,Nú er að segja frá Reginbald að hann lætur bera sitt merki í mót Erkúles,
IP-MAT,vilhjalmur,nar,1450,15,0.18,sag,27179,BEPI,,,,,,Nú er að segja af Vilhjálmi og Menon kóngi að þeir fara þar til að þeir komu til Makdóníam í ríki Menons,
IP-MAT,vilhjalmur,nar,1450,15,0.18,sag,27469,BEPI,,,,,,Nú er að segja frá Sjóð að hann er nú kominn nærri bardaganum og skynjar hversu fylkingar standa,
IP-MAT,vilhjalmur,nar,1450,15,0.18,sag,27560,BEDI,,,,,,og var sá maður til fenginn að bera það er Nikaron hét,
IP-SUB,aevintyri,nar,1475,15,0.19,rel,27768,BEPI,,,,,,Hér megi þér sjá hver voði það er að ræna annars manns góssi,
IP-MAT,aevintyri,nar,1475,15,0.19,rel,27994,BEDI,1,,,,0,og var að eta draf og ónnur óhreinindi,"Hann fann eitt svín á veginum fyrir sér , og var að eta draf og ónnur óhreinindi . ""He found a pig on the road ahead of him, and it was eating dregs and other impurities.”"
IP-SUB,aevintyri,nar,1475,15,0.19,rel,28152,BEDI,,,,,,og þar fyrir var þeim settur dagur að hinn ríki maður skyldi eið sverja Því að allir sögðu að hann mundi eigi falskan eið sverja eftir því sem hann var beðinn satt að segja eigi fyrir gott eigi fyrir illt utan trúliga sverja sinn eið,
IP-SUB,aevintyri,nar,1475,15,0.19,rel,28157,BEPI,,,,,,Í þessu ævintýri er yður sýnt hversu það er sverja ranga eiða sérliga við vorn herra eða hans helga dómna Því að hver maður er sver rangan eið fyrirlætur guð og hans vegu því að hver er sver falskan eið fyrirlætur fimm sæt þing guð almáttigan fyrst og allan hans félags skap,
IP-MAT,aevintyri,nar,1475,15,0.19,rel,28384,BEDI,,1,,,,Þá var og farið að kalla saman alla bræður þeirrar reglu sem siður er til að þeir skulu yfir standa þar sem einn hver deyr því að öllum sýnist hans dauði ráðinn þeim sem þar voru viðstaddir,"""Then it was also begun to call together all the brothers of that order, as is the custom, so that they should oversee where each one dies because it seemed to everyone that his death was ordained to those who were present there."""
IP-SUB,aevintyri,nar,1475,15,0.19,rel,28403,BEDI,,,,,,Sem svo hefir lengi fram farið kom svo til einn dag að hennar móðir kom þar inn gangandi sem þau voru að vinna sinn glæp,
IP-SUB,aevintyri,nar,1475,15,0.19,rel,28510,BEDI,,,,,,Og sem hann er úti fara bræður allir til sinnar sængur utan einn varð eftir og gekk fyrir þá kapellu er bræður voru vanir að lúta,
IP-MAT,aevintyri,nar,1475,15,0.19,rel,28600,BEPI,,,,,,En nú er þar til að taka sem keisarinn er í sinni pílagríms ferð,
IP-SUB,aevintyri,nar,1475,15,0.19,rel,28859,BEDI,,,,,,Sem svo hafði áfram farið bar svo til einn dag að hennar móðir bar þar að sem þau voru að vinna sinn glæp,
IP-SUB,jarlmann,nar,1480,15,0.22,sag,29545,BEDS,,,,,,og sagði að henni væri best að forvitnast,
IP-MAT,jarlmann,nar,1480,15,0.22,sag,29958,BEDI,,,,,,og var þá Þorbjörg beðin að kveða,
IP-MAT,erasmus,nar,1525,16,0.24,sag,30287,BEDI,,,,,,En á sjánna hans var að líta nálega sem á engla sakir prýðilegrar fegurðar er til hans var að líta,
IP-SUB,erasmus,nar,1525,16,0.24,sag,30287,BEDI,,,,,,En á sjánna hans var að líta nálega sem á engla sakir prýðilegrar fegurðar er til hans var að líta,
IP-MAT,erasmus,nar,1525,16,0.24,sag,30639,BEPI,,,,,,En frá keisaranum er það að segja,
IP-MAT,erasmus,nar,1525,16,0.24,sag,30654,BEPI,,,,,,En í annan stað er að segja frá því að keisarinn lætur þegar um morguninn vitja myrkvastofunnar er Erasmus átti í vera,
IP-MAT,georgius,nar,1525,16,0.17,rel,30792,BEPI,,,,,,Nú í annan stað er frá því og að segja að þeir bræður heilags Gergíi fá nú að fregna hvað tíðinda er,
IP-MAT,georgius,nar,1525,16,0.17,rel,31446,BEDI,,,,,,Og í þeirri þokunni var að líta sem eitt skært ljós brynni,
IP-MAT,georgius,nar,1525,16,0.17,rel,31716,BEDI,1,,,,1,og er sendimenn keisarans komu til hans. Þá var hann að mæla þessi orð Herra Jesús Cristus þér kann ég aldrei né heldur má full þakka fyrir það að þú hefur mér óverðugum hjálpað í mínum vandkvæðum Fyrst þá sem ég yfirvann Appollo afguð keisarans og nú í öðru sinni að ég varð ekki líflátinn af þeim vij. sverðum er minn líkama áttu að sníða í sundur,"""Then he was saying these words: Lord Jesus Christ, I can never fully thank You enough for helping me, unworthy as I am, in my difficulties. First, when I overcame the idol Apollo of the emperor, and now for the second time, that I was not put to death by those six swords that were meant to cut my body apart."""
