label	subgenre	century	lexicaldiversity	genre	textid	treeid	text
IP-SUB	sag	14	0.21	nar	arni	14562	og það hafa og halda sem Magnús kóngur gaf þeim að allir menn séu frjálsir í þessu landi sínu góssi að ráða um lögaura og dilkfjáreign um búfjárábyrgð og skildaga er að öngvu skal hafa um ábyrgð á fúlgufé og hversu af höndum skal lúka um vinnumenn og leiguföll um þjófafærslur og heytökur um fjárhald ómaga um fátækra manna flutning
IP-SUB	sag	14	0.21	nar	arni	14754	En er biskup vissi þessar greinir tók hann senn úr að það væri yfirdrepskapur Ásgríms að láta fyrir þeim manni líklegast er biskup trúði framast því að það mátti alla tíma djarflega segja að hjá Runólfi ábóta mundi annar endir mála Árna biskups
IP-MAT	sag	14	0.2	nar	bandamennM	14830	Þá var hann beðinn af vinum sínum að staðfestast hér
IP-MAT	sag	14	0.2	nar	bandamennM	15259	Nú er þar til að taka að Ófeigur karl gengur upp á völluna og til dómanna
IP-MAT	sag	14	0.16	nar	finnbogi	16629	Nú er að segja frá Finnboga
IP-MAT	sag	14	0.16	nar	finnbogi	17373	Það er nú að segja frá Hrafni
IP-SUB	sag	14	0.16	nar	finnbogi	17704	Jökull sá að þetta mundi svo fara með því að hann mæddi mjög blóðrás og það að Svartur stóð með reidda rekuna og var búinn að slá hann með
IP-MAT	sag	14	0.16	nar	finnbogi	17990	Var hann og jafnan síðan formælandi það að styrkja og styðja sem hinir ágætustu menn boðuðu
IP-MAT	sag	14	0.16	nar	finnbogi	18157	Þar er til að taka sem Finnbogi er heima að Borg
IP-SUB	sag	14	0.24	rel	marta	18355	Hið fyrsta tákn af þessum segir Comestor á þá leið in Historiis evangeliorum að þá er drottinn Jesús var beðinn að fara til húsa þess höfðingja er Jarkus hét að reisa af dauða dóttur hans þröngdu honum mjög á veginum miklir flokkar þeirra manna sem sumir vildu heyra kenningar hans sumir þiggja af honum lækning sumir að undrast tákn hans sumir að finna að atferð hans
IP-MAT	sag	14	0.24	rel	marta	18423	Í friði var henni boðið að fara að hún gengi um sannleiksgötur en dræpi eigi fótum í áhlekkingar
IP-SUB	sag	14	0.24	rel	marta	18428	Og er þessi grein haldandi í milli peccatum og delictum að delictum verður í tjón góðra verka ef maður vinnur eigi vinnandi hluti en peccatum er að vinna óvinnandi hluti
IP-MAT	sag	14	0.24	rel	marta	18468	það er að skilja sú sála sem sjálfur guð gerði sér til herbergis fyrirkemur sér með saurlífis synd
IP-MAT	sag	14	0.24	rel	marta	18487	Mikil tign er að þiggja slíka vináttu af guðs syni og maklig miklu lofi
IP-MAT	sag	14	0.24	rel	marta	18550	Það er svo að skilja að sá sem á mig trúir þótt hann hafi dauður verið í líkam mun lifa í önd þar til er hann lifnar og hörund hans sú er þá lifnar mun aldrei deyja þaðan af
IP-MAT	sag	14	0.24	rel	marta	18885	Og það er eigi vor að greina því að hin fyrstu sjö ár nærði hún heldur en fæddi sinn líkam með hnotum og grasarótum hrám og skógareplum svo sem hún mátti minnst lifa við
IP-MAT	sag	14	0.24	rel	marta	19224	Makligt er að votta minniligt tákn og opinbert það er guðlig mildi gerði fyrir verðleika sællar Maríu Magdalenu í hennar fyrrnefndu klaustri að ásjáöndum mörgum mönnum
IP-SUB	sag	14	0.24	rel	marta	19251	og sveipuðu dúkum sem þar var siður til um dauða menn að búa
IP-MAT	sag	15	0.21	nar	gunnar	19332	Það var hans iðn að geyma fjár vetur og sumar
IP-MAT	sag	15	0.21	nar	gunnar	19468	En frá Þorgrímssonum er það að segja að Jökull talaði við bróður sinn Við skulum fara til Keldugnúps og drepa þá Helga og Gunnar fyrir sín illvirki
IP-MAT	sag	15	0.21	nar	gunnar	19590	Nú er þar til að taka að Þorbjörn var heima og Helgi son hans
IP-MAT	sag	15	0.21	nar	gunnar	20174	Það er af Helga að segja að hann fékk fæð mikla
IP-MAT	sag	15	0.35	nar	gunnar2	20559	Nú er þar frá að segja að Gunnar ríður heiman einn dag að finna Þórdísi til að bjóða henni bætur eftir Örn bónda
IP-MAT	sag	15	0.2	nar	viglundur	20938	Nú er þar til að taka sem þeir bræður Jökull og Einar gerðust mjög óspakir í héraðinu
IP-MAT	sag	15	0.2	nar	viglundur	21058	Nú er þar til að taka er þeir bræður Víglundur og Trausti gengu einn dag til hrossa sinna
IP-MAT	sag	15	0.21	nar	bandamenn	21936	Þá var hann beðinn af vinum sínum að staðfestast hér
IP-MAT	sag	15	0.21	nar	bandamenn	22139	Það er að segja um haustið er menn fóru á fjall af Mel að mjög skaut í tvö horn um heimtur Odds sem verið hafði
IP-MAT	sag	15	0.2	nar	ectorssaga	23204	Þar er nú til að taka að Florenkíus ríður fram á einn skóg myrkvan og þrögvan
IP-MAT	sag	15	0.2	nar	ectorssaga	23416	Nú er frá því að segja að hinn frækni Fennakíus skilur við sína lagsmenn ríðandi svo marga daga um þykkvar merkur og þröngva skóga þar til sem að kveldi eins dags kemur hann fram að einu rjóðri Sjáandi í einum stað í rjóðrinu nokkurn ókyrrleika ríðandi þangað
IP-MAT	sag	15	0.2	nar	ectorssaga	23601	Er nú þar til að taka að fram á skóginn ríður riddari Alanus ríðandi svo vii-7 daga ii samt hugleiðandi um sitt efni og hvílandi sinn hest að hann skyldi eigi springa af mæði Rétt þar til sem árla um einn morgun kemur hann í eitt rjóður
IP-MAT	sag	15	0.2	nar	ectorssaga	23608	og eru nú að klæðast og vopnast
IP-MAT	sag	15	0.2	nar	ectorssaga	23737	En nú er þar til að taka að Lukíus vaknar ei með góðan hug er hann finnur Alanus í burtu en sængin köld er hann hafði legið
IP-MAT	sag	15	0.2	nar	ectorssaga	24313	Var eigi langt að bíða áður en Alvernus féll af sínum hesti
IP-SUB	sag	15	0.2	nar	ectorssaga	24347	Lofuðu allir hreysti þessa manns við svo mikið ofurefli sem var að eiga nema kóngs son og hans faðir voru svo reiðir að þeir geymdu eigi samviskunnar
IP-MAT	sag	15	0.2	nar	ectorssaga	24469	er þar að ríða í milli einna braut fagra
IP-SUB	sag	15	0.2	nar	ectorssaga	24488	Hann hafði stöng svo langa og digra að varla var manna megn að þola hans atreið
IP-SUB	sag	15	0.2	nar	ectorssaga	24669	og hugsar með sér að það væri drengiligt að vinna bót kastalanum
IP-MAT	sag	15	0.2	nar	ectorssaga	24818	En frá Jamunth er það að segja að hann sneri mót Estomaro
IP-SUB	bib	15	0.29	rel	judit	25037	En er þaðan liðu tuttugu dagar þá var þrotið vatn allt í borginni svo að þá var eigi meir en dag að deila
IP-MAT	sag	15	0.18	nar	vilhjalmur	25558	og hvaðan sem þú leist á hann var að sjá sem x menn gengi að að berjast
IP-MAT	sag	15	0.18	nar	vilhjalmur	26033	Það er nú af Vilhjálmi að segja hann leiðir hest sinn af skipunum og fylgir dýrið honum
IP-MAT	sag	15	0.18	nar	vilhjalmur	26236	og var eigi langt að bíða áður þeir kenndu niður
IP-MAT	sag	15	0.18	nar	vilhjalmur	26464	Er nú oftast að eiga náttból út undir berum himni og grimmum dýrum
IP-MAT	sag	15	0.18	nar	vilhjalmur	26627	og var honum gefið að drekka
IP-MAT	sag	15	0.18	nar	vilhjalmur	26963	Nú er að segja frá Reginbald að hann lætur bera sitt merki í mót Erkúles
IP-MAT	sag	15	0.18	nar	vilhjalmur	27179	Nú er að segja af Vilhjálmi og Menon kóngi að þeir fara þar til að þeir komu til Makdóníam í ríki Menons
IP-MAT	sag	15	0.18	nar	vilhjalmur	27469	Nú er að segja frá Sjóð að hann er nú kominn nærri bardaganum og skynjar hversu fylkingar standa
IP-MAT	sag	15	0.18	nar	vilhjalmur	27560	og var sá maður til fenginn að bera það er Nikaron hét
IP-SUB	rel	15	0.19	nar	aevintyri	27768	Hér megi þér sjá hver voði það er að ræna annars manns góssi
IP-MAT	rel	15	0.19	nar	aevintyri	27994	og var að eta draf og ónnur óhreinindi
IP-SUB	rel	15	0.19	nar	aevintyri	28152	og þar fyrir var þeim settur dagur að hinn ríki maður skyldi eið sverja Því að allir sögðu að hann mundi eigi falskan eið sverja eftir því sem hann var beðinn satt að segja eigi fyrir gott eigi fyrir illt utan trúliga sverja sinn eið
IP-SUB	rel	15	0.19	nar	aevintyri	28157	Í þessu ævintýri er yður sýnt hversu það er sverja ranga eiða sérliga við vorn herra eða hans helga dómna Því að hver maður er sver rangan eið fyrirlætur guð og hans vegu því að hver er sver falskan eið fyrirlætur fimm sæt þing guð almáttigan fyrst og allan hans félags skap
IP-MAT	rel	15	0.19	nar	aevintyri	28384	Þá var og farið að kalla saman alla bræður þeirrar reglu sem siður er til að þeir skulu yfir standa þar sem einn hver deyr því að öllum sýnist hans dauði ráðinn þeim sem þar voru viðstaddir
IP-SUB	rel	15	0.19	nar	aevintyri	28403	Sem svo hefir lengi fram farið kom svo til einn dag að hennar móðir kom þar inn gangandi sem þau voru að vinna sinn glæp
IP-SUB	rel	15	0.19	nar	aevintyri	28510	Og sem hann er úti fara bræður allir til sinnar sængur utan einn varð eftir og gekk fyrir þá kapellu er bræður voru vanir að lúta
IP-MAT	rel	15	0.19	nar	aevintyri	28600	En nú er þar til að taka sem keisarinn er í sinni pílagríms ferð
IP-SUB	rel	15	0.19	nar	aevintyri	28859	Sem svo hafði áfram farið bar svo til einn dag að hennar móðir bar þar að sem þau voru að vinna sinn glæp
IP-SUB	sag	15	0.22	nar	jarlmann	29545	og sagði að henni væri best að forvitnast
IP-MAT	sag	15	0.22	nar	jarlmann	29958	og var þá Þorbjörg beðin að kveða
IP-MAT	sag	16	0.24	nar	erasmus	30287	En á sjánna hans var að líta nálega sem á engla sakir prýðilegrar fegurðar er til hans var að líta
IP-SUB	sag	16	0.24	nar	erasmus	30287	En á sjánna hans var að líta nálega sem á engla sakir prýðilegrar fegurðar er til hans var að líta
IP-MAT	sag	16	0.24	nar	erasmus	30639	En frá keisaranum er það að segja
IP-MAT	sag	16	0.24	nar	erasmus	30654	En í annan stað er að segja frá því að keisarinn lætur þegar um morguninn vitja myrkvastofunnar er Erasmus átti í vera
IP-MAT	rel	16	0.17	nar	georgius	30792	Nú í annan stað er frá því og að segja að þeir bræður heilags Gergíi fá nú að fregna hvað tíðinda er
IP-MAT	rel	16	0.17	nar	georgius	31446	Og í þeirri þokunni var að líta sem eitt skært ljós brynni
IP-MAT	rel	16	0.17	nar	georgius	31716	og er sendimenn keisarans komu til hans. Þá var hann að mæla þessi orð Herra Jesús Cristus þér kann ég aldrei né heldur má full þakka fyrir það að þú hefur mér óverðugum hjálpað í mínum vandkvæðum Fyrst þá sem ég yfirvann Appollo afguð keisarans og nú í öðru sinni að ég varð ekki líflátinn af þeim vij. sverðum er minn líkama áttu að sníða í sundur
IP-SUB	bib	16	0.24	rel	ntacts	32221	Og sjáðu að blálenskur maður geldingur og vildarmenni drottningarinnar Kandakes af Blálandi hver eð yfir var settur allar hennar fjárhirslur hann var farinn til Jerúsalem að tilbiðja
IP-SUB	bib	16	0.24	rel	ntacts	32227	og heyrði að hann var að lesa Esaiam spámann
IP-SUB	bib	16	0.24	rel	ntacts	32378	En á meðan þeir voru að búa til leið yfir hann brjósthöfgi VS:X_11P
IP-MAT	bib	16	0.24	rel	ntacts	32757	VS:XVI_6P Og þá þeir gengu um Frýgiam og Galitíuríki var þeim forboðið af helgum anda að tala Guðs orð í Asía
IP-SUB	bib	16	0.18	rel	ntjohn	34491	VS:XIX_40J Þá tóku þeir líkama Jesú og sveipuðu í líni með ilmandi smyrslum svo sem siður er til Gyðinga að greftra
IP-SUB	oth	16	0.19	rel	eintal	34923	Og þó þeirra ásetningur væri að láta þetta ekki ske um páskahátíðina svo að ei yrði upphlaup með fólkinu þá var það þó áður fyrr ásett í ráði heilagrar þrenningar að þeirra ranglæti við þig skyldi á þeirri fjölmennu hátíð fram koma
IP-SUB	oth	16	0.19	rel	eintal	35014	Hvör einn hópur í Ísrael skal slátra þessu lambi móti kvöldi og taka þess blóð og rýða því á dyrustafina og á efsta dyratréð hússins þar þeir inni eru að neyta lambsins
IP-SUB	oth	16	0.19	rel	eintal	35113	Vakta þig einnin mín sál svo að þitt páskalamb sé í öngvan máta í vatni soðið Því þú skalt hvörki vana það sem drottinn þinn bauð þér og ei þar við auka Því að til ónýtis er það að vilja þjóna Guði með þeim kenningum sem ei eru nema mannanna boð og setningar
IP-MAT	oth	16	0.19	rel	eintal	35536	En hann sagði til hans Herra reiðubúinn er eg með þér í fjötur og dauða að ganga
IP-SUB	oth	16	0.19	rel	eintal	36095	Stolt er það á meðan vel gengur því það er ekki hægt að temja eða stilla
IP-MAT	oth	17	0.3	rel	okur	36193	um hina er ekki að tala
IP-MAT	oth	17	0.3	rel	okur	36211	Þess vegna er það hræðilegt og skelfilegt fyrir mannskepnuna að falla í reiðihendur lifanda guðs
IP-MAT	oth	17	0.3	rel	okur	36266	og allmörgum af þeim er svo þvers um geð kristilega að lýsa sem einum soltnum hundi að fasta
IP-SUB	oth	17	0.3	rel	okur	36390	Einn af þeim heiðnu lagði það að jöfnu að plága náungann með okri og drepa hann því meðan þeir eru að útokra sínu við þann þurfanda þá er hjarta þeirra svo langt frá tungunni sem himininn er frá jörðunni
IP-SUB	oth	17	0.3	rel	okur	36441	og svo fá þó samt ugglaust eins og allt sé hreint og klárt og á allar síður viturlega og vel gjört og stofnað svo sem sá ríki bóndi meinti um sig sem allar sínar kornhlöður var búinn að fylla
IP-SUB	oth	17	0.3	rel	okur	36523	En þá hún var nú að telja peningana datt þessi skarfur niður fyrir henni
IP-MAT	oth	17	0.3	rel	okur	36552	Eins segir spámaðurinn eru þeir með sínum veiðibrellum útbúnir að leggja upp og niður aftur og fram snörur fyrir fólkið
IP-MAT	oth	17	0.3	rel	okur	36577	Hinum heilaga Davíð var stór forvitni forðum þegar hann tók við ríkinu eftir Sál kóng að vita það hvör fá mundi að búa í herrans tjaldbúð og hvílast á hans heilaga fjalli Hvörsu að væri hér í heimi réttur pílagrímur í þeirra andlegu herrans tjaldbúð kristilegri kirkju
IP-MAT	oth	17	0.3	rel	okur	36687	Nú af því vér erum settir af guði hvör í sinni sókn að vaka yfir hjörð drottins og framfylgja því öfluga spádómsorði sem ekki líður nökkra forfalskan svo ekki neitt orð undan falli af þeim orðum sem drottinn hefur oss í hendur fengið til þess að uppslíta sundurbrjóta eyðileggja og fordjarfa djöfulsins verk en uppbyggja og gróðursetja verk vors guðs Ef ske mætti þeir sem annarlegum guðum okursyndinni hafa sér til ábata um stundir ótérlega eftirfylgt vildi það heyra og snúa sér í burt frá sínu vondu athæfi þess og annars vér verðum sjálfir í vorum sóknum og oftar en skyldi innan vorra dyragátta varir við djöflanna frágang Ekki einasta í því að svíkja mannlegt hold og blóð og upphvetja það til alls konar synda heldur og líka spyrjum vér að sjálfir djöflarnir hafa sýnilega á gangi verið í voru föðurlandi svo sem rigtið út af því efni hefur allvíða á þessum árum of hátt gengið og ýmislegar skráveifur gjört bæði mönnum og peningum manna Þá er oss segi ég mál að vakna og með hvellum guðsorðabásúnum þann lámskranda úlf djöfulinn og svo hans hvolpa meðal hvörra okurmennirnir eru tannhvassastir og hjörðinni skæðastir frá vorri hjörð að fæla svo sá gullkaleikur sem upp er settur sérdeilis í Neshrepp fullur á barma af okri og öðrum óhreinindum gjöri ekki vorar sóknir öldungis fordrukknar svo sem hann hefur um stundir þá allmarga velglaða gjört og gjörir enn nú
IP-SUB	tra	17	0.23	bio	olafuregils	36870	og ætlaði þar inn því þeir vissu þá var þar ekki neitt að óttast
IP-MAT	tra	17	0.23	bio	olafuregils	36889	og í móti snörpum austanvindi var þeim Íslenzku skipað að róa
