label	century	genre	year	textid	treeid	text
IP-MAT	14	nar	1300	alexander	10562	Þeir voru líkara búnir konum en hermönnum því að klæði þeirra voru víða gulli búin
IP-SUB	14	nar	1300	alexander	10562	Þeir voru líkara búnir konum en hermönnum því að klæði þeirra voru víða gulli búin
IP-SUB	14	nar	1300	alexander	10575	Og að eigi væri Grikkjum auðsótt að sækja konunginn þá lýkur hann utan fylking sína með 300-300 þúsunda fótgönguliðs þess er undarliga var vel að vopnum búið
IP-SUB	14	nar	1300	alexander	10649	Og þá færir Philippus honum heilsudrykk þann er hann hafði búið
IP-MAT	14	nar	1300	alexander	10786	Og fyrst verður hann sjálfur búinn af staðnum
IP-SUB	14	nar	1300	alexander	10787	og hleypir í móti Serkjum og hjálmað og brynjað riddaralið svo hvað sem búið verður
IP-MAT	14	nar	1300	alexander	10801	Var og flest allt liðið betur búið til rásar en bardaga
IP-SUB	14	nar	1300	alexander	11216	Og fær hann ekki reitt sverðið sem hann vildi því að Lachesis ein af þeim þremur systrum er örlögum stýra vill eigi að Alexander konungur verði vopndauður þar sem nú var þegar fyrir búið eitur það er hann skal drekka og honum man að bana verða á vetra fresti
IP-MAT	14	nar	1300	alexander	11275	Fílar eru og búnir til bardaga hvar sem þeir fást
IP-SUB	14	nar	1300	alexander	11301	heldur framförinni jafnt sem áður þótt Darius konungur hafi lítt blíðliga fyrir honum búið
IP-SUB	14	nar	1300	alexander	11375	Darius konungur tortryggvir þó sögn hans því að sú mikla ást er hann hafði við drottningu telur það fyrir honum að Alexander myni búið hafa með henni
IP-MAT	14	nar	1300	alexander	11495	Umfram þau stórmerki er hér eru stuttliga bréfað og þann hagleik er á var þessu smíði var allt verkið með gulli búið þar er það þótti betur bera
IP-SUB	14	nar	1300	alexander	11503	En vopnar það er áður var illa búið
IP-SUB	14	nar	1310	grettir	11791	Reið hann nú heim þá er hann var búinn
IP-SUB	14	nar	1310	grettir	11921	Létu þeir í haf þegar þeir voru búnir og byr gaf
IP-SUB	14	nar	1310	grettir	12024	Hann var son Kárs hins gamla er þar hafði lengi búið
IP-SUB	14	nar	1310	grettir	12365	Fékk Grettir þá stór högg af þeim svo að við meiðingum var búið
IP-MAT	14	nar	1310	grettir	12527	En er hann vaknar tekur til fóta og hleypur heim var þá búið við að dýrið mundi grípa hann
IP-SUB	14	nar	1310	grettir	12624	Og er þeir höfðu um búist sigldi skip sunnan fyrir land
IP-MAT	14	nar	1310	grettir	12822	Var þá við sjálfu búið að þeir mundu berjast
IP-SUB	14	nar	1325	arni	14133	Hann hafði verið í mötuneyti með þeim mönnum er annar hét Ólafur sonur Halldórs langs er þá bjó í Húsagarði en annar hét Þórður og var kallaður kuggur son Ásmundar er búið hafði á þeim bæ í Vestmannaeyjum er nú er kenndur við konu hans Vilborgu móður Þórðar því að hún lifði honum lengur
IP-SUB	14	nar	1325	arni	14495	Það land hafði herra Árni biskup keypt að Þeóbaldusi Vilhjálmssyni þeim er átti Margrétu dóttur Barkar Ormssonar er þar hafði lengi búið og gefið að móti Dal undir Eyjafjöllum það land sem Sigvarður biskup tók undir Skálaholtsstað í próventu Þuríðar Ormsdóttur og Arnfríðar Bjarnardóttur systur Vigfúss úr Dal
IP-MAT	14	nar	1350	bandamennM	15027	og voru þá mjög brott búnir
IP-SUB	14	nar	1350	bandamennM	15887	og þegar hann er búinn þá koma austanveður
IP-MAT	14	nar	1350	bandamennM	15895	Er nú búist til veislu
IP-SUB	14	nar	1350	finnbogi	16403	Síðan þeir voru búnir reru þeir brott
IP-SUB	14	nar	1350	finnbogi	16516	Þá er þeir voru búnir fluttu þeir Ásbjörn og Þorgeir til skips það er Finnbogi átti
IP-SUB	14	nar	1350	finnbogi	16866	Og er þau voru búin fylgir Ingibjörg þeim til skips
IP-SUB	14	nar	1350	finnbogi	16885	Síðan hann var búinn reri hann suður með landi
IP-SUB	14	nar	1350	finnbogi	17169	og er þau voru búin gekk jarl til strandar með þeim
IP-SUB	14	nar	1350	finnbogi	17234	og ganga fyrir eykirnir svo hver sem búinn var
IP-SUB	14	nar	1350	finnbogi	17240	Síðan Hrafn var búinn lét hann ganga eftir förunautum sínum
IP-SUB	14	nar	1350	finnbogi	17435	Líða nú stundir þar til er Finnbogi hefir búið að Borg svo lengi að son hans var annar fimm vetra en annar þrevetur
IP-SUB	14	nar	1350	finnbogi	17704	Jökull sá að þetta mundi svo fara með því að hann mæddi mjög blóðrás og það að Svartur stóð með reidda rekuna og var búinn að slá hann með
IP-SUB	14	nar	1350	finnbogi	17799	Og er menn voru búnir gekk Bergur hinn rakki að Kol
IP-SUB	14	nar	1350	finnbogi	17834	Og er Bergur er búinn ríða þeir Finnbogi og Þorkell með honum
IP-SUB	14	rel	1350	marta	18940	og var hún þar þrjá tigu vetra í þeim stað er henni var með engilligum höndum fyrirbúinn öllum mönnum ókunnigt en södd aðeins himneskum næringum lofandi guð nætur og daga með heilögum bænum án afláti
IP-MAT	15	nar	1400	gunnar	19528	og var því búið að hann mundi standa á honum snúa við það aftur til hesta sinna
IP-SUB	15	nar	1400	gunnar	19613	En er þeir voru búnir beiðist Gunnar að ganga á land
IP-SUB	15	nar	1400	gunnar	19850	Þar sá hann allt tjaldað sem við veislu væri búið
IP-MAT	15	nar	1400	gunnar	19853	Þar var borð búið
IP-SUB	15	nar	1400	gunnar	19886	En þegar er þeir voru búnir héldu þeir þegar burt
IP-MAT	15	nar	1400	gunnar	19998	Voru þessi skip skjótt búin bæði að mönnum og vopnum
IP-MAT	15	nar	1400	gunnar	20130	Var þegar við boði búist og mörgum manni til boðið
IP-MAT	15	nar	1400	gunnar2	20314	Þeir voru þá búnir til siglingar
IP-MAT	15	nar	1400	gunnar2	20422	Var þá búist við stríði og blásið í lúðra hjá hvorutveggjum
IP-SUB	15	nar	1400	gunnar2	20433	Þá segir Jökull að þeir skuli við búnir bardaganum
IP-MAT	15	nar	1400	gunnar2	20545	En sem hún vissi Örn dauðan var henni sprengur búinn
IP-SUB	15	nar	1400	viglundur	20624	Ketill lét kenna sonum sínum allar þær íþróttir sem þá voru tíðar að nema því að Ketill var betur búinn að íþróttum en flestir menn aðrir
IP-SUB	15	nar	1400	viglundur	20642	Og þegar konungur var búinn siglir hann suður með landi
IP-MAT	15	nar	1400	viglundur	20866	Menn hans höfðu um búist eftir því sem hann hafði skipað fyrir svo að þeir voru búnir til hafs
IP-SUB	15	nar	1400	viglundur	20866	Menn hans höfðu um búist eftir því sem hann hafði skipað fyrir svo að þeir voru búnir til hafs
IP-SUB	15	nar	1400	viglundur	20867	Vinda þeir nú upp segl sín þegar að Þorgrímur var búinn því að vindur stóð af landi
IP-SUB	15	nar	1400	viglundur	21441	Hásetar Hákonar sigldu fram um sumarið þegar er þeir voru búnir
IP-MAT	15	nar	1400	viglundur	21573	og voru þeir Gunnlaugur búnir til hafs
IP-MAT	15	nar	1400	viglundur	21824	Ketilríður hafði við búist eftir því sem bóndi hafði fyrir sagt
IP-SUB	15	nar	1450	bandamenn	22022	og er Oddur var búinn leiða menn hann til skips
IP-MAT	15	nar	1450	bandamenn	22113	og voru þá mjög í burt búnir
IP-MAT	15	nar	1450	ectorssaga	22911	Þessi hinn ágæta frú var vel að sér búin um alla hluti
IP-MAT	15	nar	1450	ectorssaga	22971	Nú var honum til útreiðar búinn fríður fararskjóti einn af þeim er drómedari heita hver að svo er skjótur á rás sem fugl á flaug
IP-MAT	15	nar	1450	ectorssaga	23408	og var við brullaupi búist
IP-SUB	15	nar	1450	ectorssaga	23516	og er hann er búinn sér hann hvar fram kemur maður ef mann skal kalla og ríður einum úlfalda
IP-MAT	15	nar	1450	ectorssaga	23815	Var þar við brullaupi búist og boðið öllum hinum vildustum mönnum til þessarar veislu
IP-MAT	15	nar	1450	ectorssaga	24194	Hennar turnar voru gulli búnir
IP-SUB	15	nar	1450	ectorssaga	24221	Settist kóngur í hásæti er allt var búið með gull og gimsteinna og hans son til hægri handar En útí frá hans félags menn
IP-SUB	15	nar	1450	ectorssaga	24223	Var Apríval leiddur til sætis utarliga því hann var óvirðuliga búinn
IP-MAT	15	nar	1450	ectorssaga	24330	Var sjá nú búinn til útreiðar
IP-MAT	15	nar	1450	ectorssaga	24510	Hann var virðuliga búinn að klæðum og vopnum
IP-SUB	15	rel	1450	judit	25208	og drakk af því er þjónustumenn hennar höfðu til búið
IP-MAT	15	nar	1450	vilhjalmur	25376	Hún var vel búin
IP-SUB	15	nar	1450	vilhjalmur	25855	og er þeir höfðu um búist var mjög á liðinn dagurinn
IP-SUB	15	nar	1450	vilhjalmur	25913	En áður þeir voru búnir voru niður brotnar herbúðir og drepið margt manna
IP-SUB	15	nar	1450	vilhjalmur	26425	en er hann er búinn biður hann fólk vel lifa
IP-MAT	15	nar	1450	vilhjalmur	26807	og hafði Herkúl kóngur þá búið v langskip með góðum drengjum
IP-SUB	15	nar	1450	vilhjalmur	26827	Sáu þeir nú hvar dýrið lá fyrir þeim hellisskúta sem Vilhjálmur hafði búið um vopn sín
IP-MAT	15	nar	1450	vilhjalmur	27114	en hann var og viðbúinn
IP-SUB	15	nar	1480	jarlmann	29044	Tekur hann nú orlof af kóngi þegar að hann er búinn
IP-MAT	15	nar	1480	jarlmann	29224	Þeir voru vel búnir að klæðum
IP-SUB	15	nar	1480	jarlmann	29497	en þó tóku þeir svo fast í móti að við því var búið að þeir mundi fá sigur
IP-MAT	15	nar	1480	jarlmann	29515	Því er nú búin ferð þeirra með miklum fékostnaði gulli og silfri og góðum gripum og með glæsiligum skipum og hæversku hoffólki og hreinligum meyjum er Ríkilað skyldi þjóna
IP-SUB	15	nar	1480	jarlmann	29592	En kóngur sagði að þeir skyldu ekki féskarða verða ef þeir gjörði sem honum líkaði og væri búin að veturnóttum
IP-MAT	15	nar	1480	jarlmann	29875	Ítarliga var hún búin
IP-MAT	15	nar	1480	jarlmann	29948	En er Austvestan heyrði hljóð þeirra þá var við sjálft búið að hann mundi eigi standast eður eigi
IP-MAT	15	nar	1480	jarlmann	30053	og voru þeir allir vel búnir að vopnum og klæðum og reyndir að hreysti og harðfengi
IP-SUB	16	nar	1525	erasmus	30420	En allt þetta fólk er til samans var komið lofuðu guð fyrir það að hann hafði sinn þjón og kæran hafði svo miskunnsamlega leyst úr sinna óvina valdi en var bæði fúll og fár við sjálfan sig og alla út í frá og hafði þó svo búið
IP-SUB	16	nar	1525	erasmus	30699	En eftir þetta lífið mættum vér öðlast þá sælu og eilíft líf er faðir á himnum alsvoldugur guð hefur fyrirbúið sínum ástvinum í eilífri dýrð utan enda Amen
IP-SUB	16	nar	1525	georgius	31034	Og þá sem þeir höfðu svo um búið sem þeir vildu og ætluðu að ganga á burt aftur til keisarans þá í því kom drottinn Jesús til sankti Georgíum
IP-SUB	16	nar	1525	georgius	31390	og bjuggu þar eftir því sem sanktus Lúkas guðspjallamaður skrifar út af og segir í guðspjallinu að í þenna tíma sem þessi gjöf heilags anda veittist guðs postulum þá hafi þar í staðnum búið margra handa þjóðir hverjar að svo hétu Partí og Medí Elamíten og þær þjóðir er í Mesópótamíam og af Indíam Friggíam og Kappadókíam af Pontum og Asíam af Panfílíam Egiptum og af því landi er Líbíi heitir og liggur nærri því ríki er Sírenin heitir hvert að nafnið tók af Sírus kóngi
IP-SUB	16	nar	1525	georgius	31537	Nú þá sem móðir barnsins hafði búið um skyrtuna sem fyrr greinir og barnið var skilið við móður sína og vildi fara af stað
IP-SUB	16	rel	1593	eintal	35218	Þetta er það veglega borð sem þú hefur þínum börnum fyrir$ búið þar af þú oss sjálfur seður með þínum heilaga líkama og sjálfur nærir oss með þínu sannarlegu blóði
IP-SUB	17	rel	1611	okur	36441	og svo fá þó samt ugglaust eins og allt sé hreint og klárt og á allar síður viturlega og vel gjört og stofnað svo sem sá ríki bóndi meinti um sig sem allar sínar kornhlöður var búinn að fylla
IP-MAT	17	rel	1611	okur	36552	Eins segir spámaðurinn eru þeir með sínum veiðibrellum útbúnir að leggja upp og niður aftur og fram snörur fyrir fólkið
IP-MAT	17	bio	1628	olafuregils	36961	og svo var af þeim sjálfum um oss búið hvert kvöld
IP-SUB	17	bio	1628	olafuregils	37168	En þeirra vinskap er svo háttað Vallenzku og Tyrkjanna að nær þeir eru búnir að kaupast við og eru komnir eina mílu út frá þeim illvirkjastað þá slá hvorir aðra í hel vægðarlaust
IP-SUB	17	bio	1628	olafuregils	37202	og þá það var búið þá mátti fólkið koma í staðinn
IP-SUB	17	rel	1630	gerhard	37954	Guðs sonur gengur ekki inn í þess manns hjarta með náðinni þar sem Jóhannes hefur ekki áður tilbúið honum veg með iðruninni
IP-MAT	17	rel	1630	gerhard	38259	en það straff er Guð búinn allareiðu að leggja upp á sinn hjartans son
IP-SUB	17	rel	1630	gerhard	38270	Sá sem nú lét sér vera umhugað um þig þegar þú varst enginn skyldi honum nú ekki vera um þig hugað þar hann er búinn að skapa þig eftir sinni eigin mynd ?
IP-SUB	17	rel	1630	gerhard	38292	Ekki skal mig því furða þótt hann hafi tilbúið oss vistarveru í því himneska húsi og herbergi með því hann hefur ekki sparað að gefa út fyrir oss sinn hjartans son í hvörjum að býr öll fylling guðdómsins
IP-SUB	17	rel	1630	gerhard	38298	Já hann gleymir oss enn nú ekki þó hann sé búinn að framkvæma og fullgjöra vora endurlausn
IP-SUB	17	rel	1630	gerhard	38302	Hvað er það að faðirinn skyldi ekki veita syninum þar hann er búinn að meðtaka af honum svo mikið verð fyrir vora sáluhjálp svo sem faðirinn hefur látið sér vel lynda og líka ?
IP-MAT	17	nar	1650	illugi	38907	En er flestir létust þess ófúsir að berjast við hann og það spurðist að hann hefði harðfengt lið og fjölmennt varð engi til þess búinn
IP-MAT	17	nar	1650	illugi	38914	Það var allvel búið að mönnum og vopnum
IP-SUB	17	nar	1650	illugi	38917	Þegar þeir eru til búnir halda þeir brott
IP-SUB	17	nar	1650	illugi	38959	Og sem hann er búinn kveður hann konung
IP-SUB	17	nar	1650	illugi	39217	og sem þeir eru búnir láta þeir út
IP-SUB	17	nar	1650	illugi	39285	Hann hafði spurt andlát Odds föður síns er búið hafði í Breiðuvík á Snæfellsnesi
IP-MAT	17	nar	1650	illugi	39677	Var það skip vel búið að öllu bæði vistum og varnaði
IP-MAT	17	nar	1650	illugi	39790	Nú hafa þeir Ari Másson búið um sig sem best þeir kunnu
IP-SUB	17	bio	1659	pislarsaga	40402	Þegar ég var nú búinn að tala við Jón yngra úti kom ég inn aftur í kirkjuna
IP-SUB	17	bio	1659	pislarsaga	40568	og sleit mig af Birni kippandi til mín svo mér var næst búið falli
IP-SUB	17	bio	1659	pislarsaga	40648	Af öllu áðurskrifuðu má sjá hversu mikið vantað hefur til aðgjörða þess máls hinna réttustu ásamt því sem þá viðbættist þegar þetta mál var af Guði sjálfum opinbert orðið að opnuðum þeirra munni sem sjálfir sjálfkrafa og óneyddir sínar sakir meðkenndu því þá komu í ljós nóg líkindi þegar hver með frelsi mátti herma hvað heyrt og merkt hefði hvað áður lá í hylmingu á meðan minn kvalatími yfirstóð sem vorkunn er allhægt fyrir að bera meðan búið er að þessa lands lagarétti slíkum og þvílíkum sem nú er af velflestum uppáhaldið sem mér virðist lítillrar hrósunar verður af þeim sem undir galdramanna morðverkum liggja í þessu landi hvörra vegna mér væri ekki óskylt þar um að kvarta hversu lítið sem orkar
IP-SUB	17	bio	1659	pislarsaga	40652	og hefði þeir eiðamenn getað útvegað og meinsærin endurnýjað má vel ske að réttargangur íslenskra hefði mér bál búið hvað ég hefði þakkarorð á milli gefið
IP-SUB	17	bio	1661	indiafari	41105	Nær ég stykkin með fengpúðri og slíku sem til heyrði undir sigti tilbúið hafði þá afrétti kóngur stykkin sjálfur eftir sinni vild
IP-MAT	17	bio	1661	indiafari	41255	og var svo um búið að hvort lá við annars síðu á trjám
IP-SUB	17	bio	1661	indiafari	41434	og svo kippti ég honum hart að mér að honum var búið við hörðu falli
IP-MAT	17	bio	1661	indiafari	41457	en urðu þó svo búið að hafa og láta þá frítt spássera
IP-MAT	17	bio	1661	indiafari	41757	Þessi borgaraskapur var allur veglega búinn og útstafferaður með sínum munsturbúningi og ýmsum color og lit með gylltum skórósum og baldýruðum silkileggböndum og gylltum snúrum á sínum silkiklæðum og gylltum hattböndum og prýðilegum fjöðrum um þeirra hatta
IP-SUB	17	bio	1661	indiafari	41782	og urðu þessir menn sem í þeirra myndir voru útbúnir þar heiðarlega meðteknir og trakteraðir
IP-SUB	17	bio	1661	indiafari	41978	Svo bar við einn tíma er mér féll sú fyrsta vakt til um kvöldið sem voru tvær klukkustundir í senn að vaktmeistarinn Kaspar sendi boð til mín eftir það hann var búinn að læsa slotsportinu að ég gengi af skildbekknum heim til hans hvað þó ei plagaðist tíðum og setti þann í staðinn í mína vakt sem sendur var
IP-MAT	17	nar	1675	armann	42243	sá var tígugliga búinn
IP-SUB	17	nar	1675	armann	42342	og stóð föllin af sér þar til um síðir að Flórsokka gat mætt hann so hönum var búið að springa
IP-MAT	17	nar	1675	armann	42723	Var þó ekki við hönum búizt á neinn hátt því allir kváðu hann dauðan vera og allra helzt drottning
IP-MAT	17	nar	1675	armann	42992	og var búið með allskyns skrauti og fegurð
IP-MAT	17	nar	1680	skalholt	43716	höfðu engelskir búist við og gjört sér virki með torf og grjót
IP-SUB	17	nar	1680	skalholt	43747	Þá búið var að að brenna féll í ösku
IP-SUB	17	nar	1680	skalholt	44292	En í vikunni eftir Pálsmessu um veturinn þá höfuðsmaður reið suður um Nes og var búinn að skipa niður fólki og hann var kominn heim í veg inn til Kirkjubóls á Miðnesi og hann hafði verið þar nótt og um morguninn eftir þá hann sat undir borði þá komu xxx norðlenskir menn öllum ókunnugum því þeir höfðu hettur og stytt upp
IP-MAT	18	rel	1720	vidalin	44886	Þannig var Mardokheus búinn Est. 8
IP-SUB	18	rel	1720	vidalin	44888	það er og ekki líklegt því frelsarinn mundi ei hafa til þess tekið að hann hefði svo verið í skart búinn hefði hann verið höfðingi nokkur þeim er sómt hefði að bera svo dýrmæt klæði og var í þessu ekki lítill ofmetnaður
IP-SUB	18	rel	1720	vidalin	44897	Eg vil segja hvort sem að einn er kostum búinn eður ei þá syndgar hann ef hann klæðir sig betur en hans standi sómir
IP-SUB	18	rel	1720	vidalin	44901	en sé nokkur ei nema almennilega kostum búinn og vill þó leita sér fordildar af klæðnaðinum þá er mikil fáviska í því
IP-SUB	18	rel	1720	vidalin	45376	Í einu orði að segja þar um verður ekki annað sagt en það sem Jesajas í 64. kap. og Pálus 1. Kór. 2. hafa lagt oss í munn að það hafi ekki auga séð og ekki eyra heyrt sem guð hafi tilbúið þeim er hann elska
IP-SUB	18	rel	1720	vidalin	45634	Þótt nú að guðs föðurlig ást til mannkynsins sé jafnan búinn til að taka við syndaranum nær hann snýr sér til yfirbótar þá kann eg ekki að segja að þess háttar manneskjum muni vera létt um afturhvarf því guðs raust er mjög svo harðtöluð á móti þeim er hann segir Mikh. 2. Vei þeim sem hugsa ranglætið og þeim sem stunda uppá hið illa í svefn<dash/>húsum sínum að þeir vilji framkvæma það þegar birtir nær sem það er í valdi þeirra
IP-SUB	18	nar	1725	biskupasogur	46607	Orsök þar til var sú hin helsta þó fleira hefði undir búið
IP-SUB	18	nar	1745	klim	46852	Þá hún var þannin búin að útrétta sitt erindi og hafði skoðað blóðið þegjandi og forundrandi gekk hún aftur sinn veg í burt
IP-SUB	18	nar	1745	klim	46854	En eftir það ég var búinn að læra undirjarðarmálið og allt var búið að segja mér þá snerist allt mitt forakt í forundran
IP-SUB	18	nar	1745	klim	46854	En eftir það ég var búinn að læra undirjarðarmálið og allt var búið að segja mér þá snerist allt mitt forakt í forundran
IP-SUB	18	nar	1745	klim	46902	Allt þetta reyndi ég og aðgætti hið grandvarlegasta eftir það ég var búinn að nema undirheimamálið
IP-SUB	18	nar	1745	klim	46913	Eftir það ég var búinn að afleggja barnaskóna sem svo er kallað eður var orðinn fullnuma í undirheimamálinu kom ný skipan frá konungsgarðinum að mér skyldi meir kenna og inntaka mig í staðarins seminarium eður háskóla til ýmislegra kúnsta og embætta svo að þarverandi Karatti gætu rannsakað mínar sinnisgáfur og úrskurðað til hvers ég mundi best hæfur vera
IP-SUB	18	nar	1745	klim	47035	Þá ég var búinn að lesa hann í gegnum gat ég alls engu orkað fyrir reiði og efasemd
IP-SUB	18	nar	1745	klim	47109	Vegvísarinn vor eður Karattinn sem hingað hafði fært oss bauð að vér skyldum dvelja hér um kyrrt inn til þess hann væri búinn að láta furstann vita að vér komnir værum
IP-SUB	18	nar	1745	klim	47184	en þá hann var búinn sem grandvarlegast að yfirvega það sem honum hafði einu sinni skilist og úrskurðaði ekkert fyrr en hann hafði sem fyllilegast yfirvegað það þá mátti með öllum rétti um hann segja að hann hefði meira sýslað en tíu aðrir sem útrétta sín verkefni fljótt og hratt og almennt plaga að kallast þeir miklu andar
IP-SUB	18	nar	1745	klim	47194	Þá miðdagsmáltíð var enduð voru borð niðurtekin með sama hraðleik sem þau fyrr búin voru
IP-SUB	18	nar	1745	klim	47199	Stundum var og mín getið yfir borðum en þó með litlu hrósi því þeir meintu ég mundi vera trédrumbur nokkur af því mér skildist hver hlutur svo fljótt og mundi trauðlega verða tilbúið af mér nokkurt fagurt bílæti
IP-SUB	18	nar	1745	klim	47201	og þá hann var búinn að lesa hann sá hann mig til fótanna
IP-SUB	18	nar	1745	klim	47221	Þá nú búið var að tilkynna mér allt þetta var kallað á einhvern kiva eður sekretera sem mig skyldi teikna ásamt öðrum nýkomnum candidatis í þá bók sem í voru rituð nöfn þeirra sem verðugir voru að setjast til embætta
IP-SUB	18	nar	1745	klim	47233	og þó ég væri gjörsamlega þreyttur gat ég þó ei sofið mest alla þá nótt því ég gat ei slitið úr mínum þanka það hið ósæmilega embætti sem mér var búið að veita
IP-SUB	18	nar	1745	klim	47254	Ef meistari Jóhann Andreas skraddari í Björgvin sem klæðnað þenna heft tilbúið vissi að sín handaverk hefðu hlotið þá virðingu að þau væru geymd í eins undirheimafursta raritetaklefa þá yrði hann vissulega svo dramblátur að hann mundi síðan varla lofa borgmeistaranum eður staðarins yfirmanni í Björgvin að verða sér meira metinn
IP-SUB	18	nar	1745	klim	47296	Ég kann ei að greina þá eiginlegu aðferð kunnáttu og mennt hversu þau eru tilbúinn því að þó ég hafi ei gleymt miklu í matematískum listum eður þeirri kúnst sem áhrærir augljósa hræring hlutanna þá vita eikur þessar svo meistaralega að laga og hylja alla þess háttar hluti að sá er vildi uppgötva þenna kunnátturíka hlut mætti vera glöggskyggnari en nokkur Argus og vera gæddur nálega guðlegu viti
IP-MAT	18	nar	1745	klim	47314	Vökvinn sem þeir brúka til drykkjar er tilbúinn af vissum urtum sem eru sígrænar
IP-SUB	18	nar	1745	klim	47472	En þá búið var að halda ráðstefnuna og safna saman meiningunum þá var forkastað þessu forslagi svo sem það væri ógrundað dárlegt og landslýðnum skaðlegt því þeir meintu að þetta mundi vekja mikinn óróa og óeining meðal þeirra konunglegu prinsa
IP-SUB	18	nar	1745	klim	47541	og þá lögvitringarnir eru búnir að laga það rétt til og hreinskrifa er það loksins sent furstanum til staðfestingar og undirskriftar áður en það er auglýst fyrir alþýðu
IP-SUB	18	nar	1745	klim	47550	Enginn má undir lífsstraff voga að gjöra útleggingar yfir það lögmál sem einu sinni er opinberlega búið að staðfesta svo sjálfræðinu eru meiri skorður settar í veraldlegum efnum en í þeim andlegu
IP-SUB	18	nar	1745	klim	47584	heldur á maður að láta sinn úrskurð bíða þangað til að maður er fyrst búinn að gegnumskoða og rannsaka hlutinn rétt innvirðulega
IP-MAT	18	nar	1790	fimmbraedra	48309	Var þessi eftirleit í mesta flýtir útbúin
